Avg quiz score improvement, from pre to post: 
0.0125 (1.2%)

total responses so far: 64

rubric scores so far:

columns are:
(encyclopedia_location, encyclopedia_content, referential_amount, referential_popularity, referential_rewards, adaptive_difficulty, contextual_tutorials, resource_penalty, reset_penalty, checkpoint_frequency, exploration_freedom, iterative_feedback, problem_solving)




munchers: 1, 1, 3, 2, 1, 2, 2, 3, 5, 1, 2, 1, 1
munchers: 1, 1, 2, 1, 1, 5, 2, 4, 4, 2, 3, 1, 1
munchers: 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1
munchers: 1, 1, 2, 1, 2, 4, 1, 2, 5, 1, 1, 5, 4
munchers: 2, 3, 4, 2, 4, 3, 4, 2, 5, 1, 4, 2, 3
munchers: 1, 1, 1, 1, 1, 1, 2, 2, 4, 2, 1, 2, 1
munchers: 1, 1, 1, 2, 3, 2, 1, 1, 5, 1, 1, 1, 1
munchers: 5, 2, 5, 4, 5, 2, 1, 2, 5, 2, 4, 1, 2
munchers: 2, 1, 1, 1, 5, 2, 1, 2, 5, 1, 1, 2, 1
munchers: 1, 1, 2, 2, 1, 2, 2, 2, 5, 2, 1, 1, 1
munchers: 3, 4, 2, 2, 2, 2, 2, 4, 3, 3, 3, 1, 4
munchers: 2, 3, 4, 2, 2, 3, 2, 2, 2, 3, 2, 2, 4
munchers: 5, 3, 4, 2, 5, 5, 5, 5, 3, 5, 3, 5, 5
munchers: 3, 5, 2, 2, 5, 4, 2, 2, 5, 5, 2, 1, 1



oregon: 5, 3, 2, 3, 3, 2, 2, 2, 3, 2, 1, 3, 2
oregon: 5, 3, 5, 3, 2, 1, 2, 1, 5, 1, 1, 1, 1
oregon: 1, 3, 2, 3, 1, 1, 1, 1, 4, 4, 1, 1, 2
oregon: 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 2, 3, 3
oregon: 2, 5, 3, 2, 4, 2, 5, 1, 2, 4, 2, 3, 3
oregon: 2, 2, 2, 3, 3, 2, 2, 4, 4, 4, 3, 3, 3
oregon: 5, 5, 2, 4, 5, 2, 2, 1, 5, 1, 1, 3, 1
oregon: 5, 3, 5, 4, 5, 5, 5, 5, 5, 1, 2, 5, 1
oregon: 5, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2
oregon: 5, 4, 5, 3, 4, 3, 5, 1, 1, 2, 2, 3, 2



baseball: 1, 1, 2, 5, 2, 2, 2, 4, 5, 2, 2, 1, 1
baseball: 1, 1, 2, 5, 2, 5, 1, 1, 5, 3, 2, 3, 1
baseball: 1, 2, 3, 4, 4, 2, 1, 3, 5, 1, 1, 4, 1
baseball: 1, 1, 2, 4, 1, 2, 1, 2, 4, 1, 5, 1, 4
lemmings: 5, 4, 2, 3, 4, 5, 1, 3, 4, 2, 2, 3, 3
lemmings: 1, 1, 4, 1, 4, 1, 1, 3, 4, 1, 3, 2, 2
lemmings: 1, 1, 3, 2, 4, 2, 2, 2, 3, 3, 3, 3, 3
lemmings: 1, 1, 3, 2, 1, 2, 1, 4, 5, 4, 1, 1, 4
lemmings: 2, 2, 2, 4, 1, 2, 1, 1, 4, 2, 3, 2, 4
